Year,NYCHA Development,Applied for the program,Were accepted and enrolled,Average wage of residents,Enrolled in financial counseling services through the program,Enrolled in college-readiness courses or participated in college-readiness activities through the program
2019,1010 East 178th Street,20,10,$15,10,10
2019,104-14 Tapscott Street,2,1,$15,1,1
2019,1162-1176 Washington Avenue,5,3,$15,3,3
2019,1471 Watson Avenue,5,3,$15,3,3
2019,154 West 84th Street,1,1,$15,1,1
2019,303 Vernon Avenue,28,11,$15,11,11
2019,335 East 111th Street,6,NA,$15,NA,NA
2019,344 East 28th Street,17,7,$15,7,7
2019,45 Allen Street,12,1,$15,1,1
2019,572 Warren Street,15,8,$15,8,8
2019,830 Amsterdam Avenue,17,8,$15,8,8
2019,Adams,101,42,$15,42,42
2019,Albany,93,50,$15,50,50
2019,Albany II,59,30,$15,30,30
2019,Amsterdam,57,19,$15,19,19
2019,Amsterdam Addition,7,2,$15,2,2
2019,Armstrong I,60,33,$15,33,33
2019,Armstrong II,45,20,$15,20,20
2019,Astoria,197,113,$15,113,113
2019,Atlantic Terminal Site 4B,26,14,$15,14,14
2019,Audubon,18,9,$15,9,9
2019,Bailey Avenue-West 193Rd Street,20,7,$15,7,7
2019,Baisley Park,50,22,$15,22,22
2019,Baruch,201,155,$15,155,155
2019,Bay View,198,120,$15,120,120
2019,Baychester,34,19,$15,19,19
2019,Beach 41St Street-Beach Channel Drive,77,56,$15,56,56
2019,Bedford-Stuyvesant Rehab,8,5,$15,5,5
2019,Belmont-Sutter Area,7,5,$15,5,5
2019,Berry,54,23,$15,23,23
2019,Berry Street-South 9th Street,21,9,$15,9,9
2019,Betances I,19,12,$15,12,12
2019,"Betances II, 13",2,1,$15,1,1
2019,"Betances II, 18",12,6,$15,6,6
2019,"Betances II, 9A",3,3,$15,3,3
2019,"Betances III, 13",3,1,$15,1,1
2019,"Betances III, 18",5,1,$15,1,1
2019,"Betances III, 9A",4,NA,$15,NA,NA
2019,Betances IV,32,15,$15,15,15
2019,Betances V,23,8,$15,8,8
2019,Betances VI,18,7,$15,7,7
2019,Bethune Gardens,4,3,$15,3,3
2019,Bland,30,13,$15,13,13
2019,Borinquen Plaza I,44,27,$15,27,27
2019,Borinquen Plaza II,54,33,$15,33,33
2019,Boston Road Plaza,2,1,$15,1,1
2019,Boston Secor,70,38,$15,38,38
2019,Boulevard,172,135,$15,135,135
2019,Boynton Avenue Rehab,5,3,$15,3,3
2019,Bracetti Plaza,12,2,$15,2,2
2019,Breukelen,252,200,$15,200,200
2019,Brevoort,122,65,$15,65,65
2019,Bronx River,155,108,$15,108,108
2019,Bronx River Addition,NA,NA,NA,NA,NA
2019,Brownsville,232,162,$15,162,162
2019,Bryant Avenue-East 174th Street,8,2,$15,2,2
2019,Bushwick,267,202,$15,202,202
2019,Butler,338,217,$15,217,217
2019,Campos Plaza II,18,11,$15,11,11
2019,Carey Gardens,66,23,$15,23,23
2019,Carleton Manor,22,16,$15,16,16
2019,Carver,103,48,$15,48,48
2019,Cassidy-Lafayette,NA,NA,NA,NA,NA
2019,"Castle Hill I, II",411,328,$15,328,328
2019,Chelsea,33,15,$15,15,15
2019,Claremont Parkway-Franklin Avenue,12,9,$15,9,9
2019,Claremont Rehab (Group 2),11,5,$15,5,5
2019,Claremont Rehab (Group 3),9,4,$15,4,4
2019,Claremont Rehab (Group 4),17,8,$15,8,8
2019,Claremont Rehab (Group 5),11,5,$15,5,5
2019,Clason Point Gardens,42,26,$15,26,26
2019,Clinton,82,38,$15,38,38
2019,Coney Island,35,15,$15,15,15
2019,Coney Island I (Site 1B),17,5,$15,5,5
2019,Coney Island I (Site 8),17,7,$15,7,7
2019,Coney Island I (Sites 4 & 5),56,23,$15,23,23
2019,Cooper Park,71,50,$15,50,50
2019,Corsi Houses,1,1,$15,1,1
2019,Crown Heights,4,2,$15,2,2
2019,Cypress Hills,174,100,$15,100,100
2019,Davidson,27,15,$15,15,15
2019,De Hostos Apartments,14,8,$15,8,8
2019,Douglass Addition,22,9,$15,9,9
2019,Douglass I,86,38,$15,38,38
2019,Douglass II,60,21,$15,21,21
2019,Drew-Hamilton,152,59,$15,59,59
2019,Dyckman,109,65,$15,65,65
2019,Eagle Avenue-East 163Rd Street,4,2,$15,2,2
2019,East 152Nd Street-Courtlandt Avenue,12,4,$15,4,4
2019,East 165th Street-Bryant Avenue,23,13,$15,13,13
2019,East 173Rd Street-Vyse Avenue,25,9,$15,9,9
2019,East 180th Street-Monterey Avenue,22,13,$15,13,13
2019,East New York City Line,14,6,$15,6,6
2019,East River,88,48,$15,48,48
2019,Eastchester Gardens,110,54,$15,54,54
2019,Edenwald,232,102,$15,102,102
2019,Elliott,42,21,$15,21,21
2019,Farragut,142,65,$15,65,65
2019,Fenimore-Lefferts,9,3,$15,3,3
2019,Fha Repossessed Houses (Group I),5,2,$15,2,2
2019,Fha Repossessed Houses (Group II),4,1,$15,1,1
2019,Fha Repossessed Houses (Group III),6,NA,$15,NA,NA
2019,Fha Repossessed Houses (Group Iv),NA,NA,NA,NA,NA
2019,Fha Repossessed Houses (Group IX),1,NA,$15,NA,NA
2019,Fha Repossessed Houses (Group V),6,1,$15,1,1
2019,Fha Repossessed Houses (Group Vi),NA,NA,NA,NA,NA
2019,Fha Repossessed Houses (Group VII),NA,NA,NA,NA,NA
2019,Fha Repossessed Houses (Group VIII),5,2,$15,2,2
2019,Fha Repossessed Houses (Group X),13,2,$15,2,2
2019,Fiorentino Plaza,24,15,$15,15,15
2019,First Houses,3,3,$15,3,3
2019,Forest,149,65,$15,65,65
2019,Forest Hills Coop (108th Street-62nd Drive),11,1,$15,1,1
2019,Fort Independence Street-Heath Avenue,33,13,$15,13,13
2019,Franklin Avenue I Conventional,5,3,$15,3,3
2019,Franklin Avenue II Conventional,3,3,$15,3,3
2019,Franklin Avenue III Conventional,1,1,$15,1,1
2019,Fulton,77,34,$15,34,34
2019,Garvey (Group A),58,26,$15,26,26
2019,Glebe Avenue-Westchester Avenue,3,2,$15,2,2
2019,Glenmore Plaza,29,17,$15,17,17
2019,Glenwood,103,64,$15,64,64
2019,Gompers,37,16,$15,16,16
2019,Grampion,1,1,$15,1,1
2019,Grant,177,68,$15,68,68
2019,Gravesend,83,37,$15,37,37
2019,Gun Hill,51,16,$15,16,16
2019,Haber,1,NA,$15,NA,NA
2019,Hammel,87,65,$15,65,65
2019,Harborview Terrace,9,3,$15,3,3
2019,Harlem River,37,17,$15,17,17
2019,Harlem River II,21,7,$15,7,7
2019,Harrison Avenue Rehab (Group A),2,NA,$15,NA,NA
2019,Harrison Avenue Rehab (Group B),12,6,$15,6,6
2019,Hernandez,3,2,$15,2,2
2019,Highbridge Gardens,103,63,$15,63,63
2019,Highbridge Rehabs (Anderson Avenue),20,8,$15,8,8
2019,Highbridge Rehabs (Nelson Avenue),10,2,$15,2,2
2019,Hoe Avenue-East 173Rd Street,5,1,$15,1,1
2019,Holmes Towers,25,12,$15,12,12
2019,Hope Gardens,25,16,$15,16,16
2019,Howard,114,51,$15,51,51
2019,Howard Avenue,27,14,$15,14,14
2019,Howard Avenue-Park Place,27,15,$15,15,15
2019,Hughes Apartments,86,45,$15,45,45
2019,Hunts Point Avenue Rehab,18,10,$15,10,10
2019,Hylan,16,11,$15,11,11
2019,Independence,48,23,$15,23,23
2019,Ingersoll,228,158,$15,158,158
2019,Isaacs,46,20,$15,20,20
2019,Jackson,109,55,$15,55,55
2019,Jefferson,135,70,$15,70,70
2019,Johnson,170,99,$15,99,99
2019,King Towers,170,122,$15,122,122
2019,Kingsborough,121,67,$15,67,67
2019,La Guardia,82,45,$15,45,45
2019,La Guardia Addition,NA,NA,NA,NA,NA
2019,Lafayette,113,50,$15,50,50
2019,Latimer Gardens,17,7,$15,7,7
2019,Lavanburg Homes,2,2,$15,2,2
2019,Leavitt Street-34th Avenue,NA,NA,NA,NA,NA
2019,Lehman Village,64,36,$15,36,36
2019,Lenox Road-Rockaway Parkway,10,4,$15,4,4
2019,Lexington,23,8,$15,8,8
2019,Lincoln,130,58,$15,58,58
2019,Linden,218,143,$15,143,143
2019,Long Island Baptist Houses,32,14,$15,14,14
2019,Longfellow Avenue Rehab,14,9,$15,9,9
2019,Low Houses,63,32,$15,32,32
2019,Lower East Side I Infill,2,2,$15,2,2
2019,Lower East Side II,14,5,$15,5,5
2019,Lower East Side III,7,4,$15,4,4
2019,Lower East Side Rehab (Group 5),5,3,$15,3,3
2019,Manhattanville,130,53,$15,53,53
2019,Manhattanville Rehab (Group 2),5,1,$15,1,1
2019,Manhattanville Rehab (Group 3),4,2,$15,2,2
2019,Marble Hill,104,54,$15,54,54
2019,Marcy,166,106,$15,106,106
2019,Marcy Avenue-Greene Avenue Site A,2,1,$15,1,1
2019,Marcy Avenue-Greene Avenue Site B,3,3,$15,3,3
2019,Mariner's Harbor,114,41,$15,41,41
2019,Marlboro,173,77,$15,77,77
2019,McKinley,82,36,$15,36,36
2019,Melrose,122,54,$15,54,54
2019,Meltzer Tower,1,NA,$15,NA,NA
2019,Metro North Plaza,33,20,$15,20,20
2019,Middletown Plaza,4,NA,$15,NA,NA
2019,Mill Brook,110,57,$15,57,57
2019,Mill Brook Extension,14,4,$15,4,4
2019,Mitchel,189,96,$15,96,96
2019,Monroe,143,62,$15,62,62
2019,Moore,56,24,$15,24,24
2019,Morris I,144,68,$15,68,68
2019,Morris II,86,39,$15,39,39
2019,Morrisania,29,14,$15,14,14
2019,Morrisania Air Rights,83,33,$15,33,33
2019,Mott Haven,126,72,$15,72,72
2019,Murphy,24,10,$15,10,10
2019,Nostrand,115,55,$15,55,55
2019,Ocean Bay Apartments (Bayside),185,121,$15,121,121
2019,Ocean Bay Apartments (Oceanside),28,16,$15,16,16
2019,Ocean Hill Apartments,47,24,$15,24,24
2019,Ocean Hill-Brownsville,15,7,$15,7,7
2019,O'Dwyer Gardens,25,17,$15,17,17
2019,Palmetto Gardens,3,3,$15,3,3
2019,"Park Avenue-East 122Nd, 123Rd Streets",14,9,$15,9,9
2019,Park Rock Rehab,15,11,$15,11,11
2019,Parkside,64,35,$15,35,35
2019,Patterson,273,195,$15,195,195
2019,Pelham Parkway,85,44,$15,44,44
2019,Pennsylvania Avenue-Wortman Avenue,31,19,$15,19,19
2019,Pink,207,107,$15,107,107
2019,Polo Grounds,296,241,$15,241,241
2019,Pomonok,148,64,$15,64,64
2019,Pss Grandparent Family Apartments,3,2,$15,2,2
2019,Public School 139 (Conversion),NA,NA,NA,NA,NA
2019,"Queensbridge I, II",328,250,$15,250,250
2019,Ralph Avenue Rehab,9,5,$15,5,5
2019,Randall Avenue-Balcom Avenue,NA,NA,NA,NA,NA
2019,Randolph,2,1,$15,1,1
2019,Rangel,98,45,$15,45,45
2019,Ravenswood,164,117,$15,117,117
2019,"Red Hook E, W",317,205,$15,205,205
2019,Redfern,98,60,$15,60,60
2019,Rehab Program (College Point),NA,NA,NA,NA,NA
2019,Rehab Program (Douglass Rehabs),5,2,$15,2,2
2019,Rehab Program (Taft Rehabs),16,8,$15,8,8
2019,Rehab Program (Wise Rehab),1,NA,$15,NA,NA
2019,Reid Apartments,1,NA,$15,NA,NA
2019,Richmond Terrace,121,65,$15,65,65
2019,Riis,88,36,$15,36,36
2019,Riis II,45,19,$15,19,19
2019,Robinson,20,7,$15,7,7
2019,Roosevelt I,72,39,$15,39,39
2019,Roosevelt II,18,10,$15,10,10
2019,Rutgers,42,15,$15,15,15
2019,Rutland Towers,5,2,$15,2,2
2019,Sack Wern,48,17,$15,17,17
2019,Saint Mary's Park,110,53,$15,53,53
2019,Samuel (City),66,31,$15,31,31
2019,Samuel (Mhop) I,1,1,$15,1,1
2019,Samuel (Mhop) Iii,1,NA,$15,NA,NA
2019,Saratoga Village,12,3,$15,3,3
2019,Sedgwick,56,30,$15,30,30
2019,Seward Park Extension,15,6,$15,6,6
2019,Sheepshead Bay,123,47,$15,47,47
2019,Shelton House,NA,NA,NA,NA,NA
2019,Smith,123,46,$15,46,46
2019,Sotomayor Houses,133,58,$15,58,58
2019,Soundview,106,51,$15,51,51
2019,South Beach,54,20,$15,20,20
2019,South Bronx Area (Site 402),21,10,$15,10,10
2019,South Jamaica I,23,7,$15,7,7
2019,South Jamaica II,75,39,$15,39,39
2019,St. Nicholas,212,153,$15,153,153
2019,Stanton Street,1,1,$15,1,1
2019,Stapleton,246,200,$15,200,200
2019,Stebbins Avenue-Hewitt Place,7,4,$15,4,4
2019,Sterling Place Rehabs (Saint Johns-Sterling),21,14,$15,14,14
2019,Sterling Place Rehabs (Sterling-Buffalo),32,12,$15,12,12
2019,Straus,21,11,$15,11,11
2019,Stuyvesant Gardens I,51,27,$15,27,27
2019,Stuyvesant Gardens II,NA,NA,NA,NA,NA
2019,Sumner,106,67,$15,67,67
2019,Surfside Gardens,32,18,$15,18,18
2019,Sutter Avenue-Union Street,11,8,$15,8,8
2019,Taft,113,54,$15,54,54
2019,Tapscott Street Rehab,21,12,$15,12,12
2019,Taylor Street-Wythe Avenue,25,15,$15,15,15
2019,Teller Avenue-East 166th Street,10,6,$15,6,6
2019,Throggs Neck,102,72,$15,72,72
2019,Throggs Neck Addition,39,21,$15,21,21
2019,Tilden,170,81,$15,81,81
2019,Todt Hill,47,14,$15,14,14
2019,Tompkins,196,143,$15,143,143
2019,Twin Parks East (Site 9),NA,NA,NA,NA,NA
2019,Twin Parks West (Sites 1 & 2),46,20,$15,20,20
2019,Two Bridges Ura (Site 7),24,9,$15,9,9
2019,Union Avenue-East 163Rd Street,1,NA,$15,NA,NA
2019,Union Avenue-East 166th Street,13,5,$15,5,5
2019,"Unity Plaza (Sites 17,24,25A)",26,18,$15,18,18
2019,Unity Plaza (Sites 4-27),61,36,$15,36,36
2019,University Avenue Rehab,13,8,$15,8,8
2019,Upaca (Site 5),NA,NA,NA,NA,NA
2019,Upaca (Site 6),1,1,$15,1,1
2019,"Van Dyke I, II",302,230,$15,230,230
2019,Vandalia Avenue,1,1,$15,1,1
2019,Vladeck,79,34,$15,34,34
2019,Vladeck II,25,11,$15,11,11
2019,Wagner,393,322,$15,322,322
2019,Wald,118,54,$15,54,54
2019,Washington,153,80,$15,80,80
2019,Washington Heights Rehab (Groups 1&2),10,3,$15,3,3
2019,Washington Heights Rehab Phase III,7,5,$15,5,5
2019,Washington Heights Rehab Phase Iv (C),2,NA,$15,NA,NA
2019,Washington Heights Rehab Phase Iv (D),1,NA,$15,NA,NA
2019,Webster,83,41,$15,41,41
2019,Weeksville Gardens,44,21,$15,21,21
2019,West Brighton,177,148,$15,148,148
2019,West Farms Road Rehab,16,5,$15,5,5
2019,West Farms Square Conventional,4,2,$15,2,2
2019,West Tremont Avenue-Sedgwick Avenue Area,3,NA,$15,NA,NA
2019,Whitman,161,72,$15,72,72
2019,Williams Plaza,32,23,$15,23,23
2019,Williamsburg,71,46,$15,46,46
2019,Wilson,69,29,$15,29,29
2019,Wise Towers,24,14,$15,14,14
2019,Woodside,93,45,$15,45,45
2019,Woodson,NA,NA,NA,NA,NA
2019,Wsur (Brownstones),4,2,$15,2,2
2019,Wsur (Site A) 120 West 94th Street,1,NA,$15,NA,NA
2019,Wsur (Site B) 74 West 92Nd Street,6,3,$15,3,3
2019,Wsur (Site C) 589 Amsterdam Avenue,15,6,$15,6,6
2019,Wyckoff Gardens,54,27,$15,27,27
2019,Totals,18717,10643,$15,10643,10643
